net,length_um
net44,827.98µm
net30,806.52µm
net5,763.11µm
net27,718.3µm
net1,717.98µm
net36,686.24µm
net33,677.82µm
net47,664.6µm
net6,636.82µm
net46,619.38µm
net8,604.1µm
net13,601.32µm
net43,599.89µm
net40,596.46µm
net35,595.76µm
net37,580.04µm
net9,561.96µm
net15,558.96µm
net16,535.92µm
net20,534.18µm
net19,520.44µm
net21,510.4µm
net17,501.22µm
net3,491.86µm
net14,486µm
net12,473.84µm
net4,473.68µm
net39,473.2µm
net34,463.8µm
net18,462.26µm
_060_,457.6µm
net24,452.16µm
net25,434.735µm
net2,412.4µm
net28,388.08µm
net22,367.935µm
net10,367.64µm
net45,360.75µm
net11,359.2µm
net38,346.1µm
net41,341.44µm
net42,313.86µm
net26,297.44µm
net7,284.46µm
_065_,253.22µm
net48,209.96µm
net32,202.315µm
net23,171.9µm
_064_,171.08µm
net58,167.02µm
_059_,157.27µm
_073_,133.44µm
net60,131.04µm
net59,127.33µm
net61,126.425µm
_083_,123.98µm
net57,122.88µm
net54,112.9µm
net53,97.295µm
net31,86.82µm
pwm_counter0.count\[0\],75.72µm
net51,72.84µm
_072_,69.225µm
_028_,64.24µm
pwm_counter0.count\[4\],63.62µm
_008_,61.3µm
pwm_counter0.count\[5\],60.76µm
net49,59.9µm
_071_,58.6µm
net56,56.14µm
net55,55.92µm
_027_,49.92µm
pwm_rise_detector.pos\[1\],48.66µm
pwm_rise_detector.pos\[2\],47.08µm
_066_,46.48µm
_095_,41.445µm
_082_,40.42µm
pwm_fall_detector.pos\[1\],37.18µm
pwm_counter0.count\[6\],36.46µm
pwm_fall_detector.pos\[2\],35.5µm
pwm_counter0.count\[1\],35.36µm
net29,30.54µm
net50,29.64µm
_025_,28.76µm
pwm_rise_detector.pos\[3\],27.755µm
pwm_counter0.count\[2\],26.74µm
pwm_fall_detector.pos\[7\],26.22µm
_050_,24µm
_042_,23.8µm
_094_,21.525µm
pwm_counter0.count\[3\],20.7µm
wbs_adr_i[29],20.03µm
wbs_dat_o[19],19.5µm
_033_,18.82µm
pwm_rise_detector.pos\[4\],17.98µm
_037_,17.94µm
pwm_fall_detector.pos\[4\],17.74µm
pwm_fall_detector.pos\[3\],17.325µm
_038_,16.1µm
pwm_rise_detector.pos\[6\],15.84µm
_045_,15.14µm
wbs_adr_i[10],14.32µm
wbs_adr_i[30],14.32µm
_036_,13.88µm
wbs_dat_o[9],13.72µm
pwm_fall_detector.pos\[6\],13.54µm
pwm_rise_detector.pos\[7\],13.34µm
wbs_dat_o[13],13.26µm
wbs_dat_o[15],13.26µm
wbs_dat_o[27],13.26µm
_048_,13.12µm
_029_,13.08µm
_055_,12.92µm
wbs_dat_o[22],12.8µm
wbs_dat_o[26],12.8µm
wbs_dat_o[29],12.8µm
wbs_dat_o[8],12.8µm
_026_,12.38µm
wbs_adr_i[13],11.6µm
wbs_adr_i[25],11.6µm
la_data_in[0],11.56µm
wbs_adr_i[1],11.56µm
wbs_adr_i[20],11.56µm
wbs_adr_i[24],11.56µm
pwm_fall_detector.pos\[5\],11.54µm
net52,11.5µm
wbs_dat_o[0],11.22µm
wbs_dat_o[18],11.22µm
wbs_adr_i[0],11.1µm
wbs_adr_i[11],11.1µm
wbs_adr_i[27],11.1µm
wbs_dat_i[7],11.1µm
wbs_dat_o[24],10.76µm
wbs_dat_o[28],10.76µm
wbs_dat_o[3],10.76µm
wbs_dat_o[7],10.76µm
_035_,10.44µm
pwm_fall_detector.pos\[0\],10.36µm
wbs_dat_o[11],10.3µm
wbs_dat_o[1],10.3µm
wbs_dat_o[25],10.3µm
wbs_dat_o[4],10.3µm
wbs_adr_i[8],10.1µm
_043_,9.86µm
pwm_rise_detector.pos\[5\],9.86µm
_061_,9.62µm
_085_,9.58µm
_039_,9.36µm
_079_,9.02µm
_019_,8.865µm
wbs_adr_i[26],8.84µm
wbs_adr_i[2],8.84µm
wbs_adr_i[3],8.84µm
wbs_adr_i[12],8.72µm
wbs_adr_i[16],8.72µm
wbs_adr_i[19],8.72µm
wbs_dat_i[1],8.72µm
wbs_dat_i[2],8.72µm
wbs_dat_i[4],8.72µm
wbs_dat_i[5],8.72µm
_058_,8.7µm
_031_,8.62µm
pwm_fall_out,8.5µm
_002_,8.235µm
_057_,8.12µm
_076_,8.02µm
_051_,7.94µm
wbs_adr_i[5],7.92µm
_044_,7.82µm
wbs_dat_o[17],7.59µm
_049_,7.48µm
wbs_dat_o[12],7.37µm
wbs_adr_i[22],7.23µm
wbs_adr_i[23],7.23µm
_078_,7.22µm
_013_,7.185µm
_000_,7.145µm
_005_,6.925µm
wbs_dat_o[30],6.91µm
_030_,6.78µm
wbs_stb_i,6.77µm
pwm_rise_detector.pos\[0\],6.76µm
wbs_dat_o[16],6.69µm
wbs_dat_o[20],6.69µm
_052_,6.58µm
wbs_dat_o[10],6.57µm
wbs_dat_o[23],6.57µm
wbs_adr_i[18],6.55µm
wbs_adr_i[7],6.55µm
wbs_dat_i[3],6.55µm
_069_,6.52µm
_091_,6.5µm
wbs_adr_i[31],6.43µm
wbs_adr_i[6],6.43µm
pwm_counter0.count\[7\],6.3µm
_021_,6.285µm
_077_,6.26µm
wbs_dat_o[21],6.23µm
wbs_dat_o[31],6.23µm
wbs_dat_o[5],6.23µm
wbs_dat_o[6],6.23µm
_084_,6.14µm
wbs_adr_i[14],6.09µm
wbs_cyc_i,6.09µm
wbs_dat_i[6],6.09µm
wb_clk_i,5.87µm
wbs_dat_o[14],5.87µm
_054_,5.8µm
pwm_rise_out,5.53µm
wbs_ack_o,5.53µm
_063_,5.38µm
_041_,5.26µm
wbs_adr_i[15],5.19µm
wbs_adr_i[21],5.19µm
wbs_adr_i[9],5.19µm
wbs_dat_o[2],5.19µm
net92,5.16µm
net118,5.16µm
wbs_adr_i[17],5.07µm
wbs_adr_i[28],5.07µm
_016_,5.045µm
_074_,4.92µm
_093_,4.895µm
_088_,4.8µm
wbs_we_i,4.73µm
_007_,4.505µm
net91,4.46µm
net93,4.46µm
_075_,4.42µm
wbs_adr_i[4],4.39µm
wbs_dat_i[0],4.39µm
_032_,4.24µm
net81,4.14µm
net97,4.14µm
net112,4.12µm
_089_,4.02µm
_018_,3.78µm
_024_,3.78µm
_067_,3.78µm
net116,3.78µm
_056_,3.56µm
_090_,3.54µm
net82,3.54µm
net95,3.54µm
_014_,3.505µm
_046_,3.42µm
_086_,3.42µm
_087_,3.42µm
_017_,3.395µm
_001_,3.32µm
net96,3.32µm
net122,3.32µm
_081_,3.18µm
_080_,3.08µm
net78,3.06µm
_010_,3.045µm
_022_,2.86µm
net114,2.86µm
net123,2.86µm
net66,2.84µm
net68,2.84µm
net72,2.84µm
net74,2.84µm
net79,2.84µm
_047_,2.76µm
net110,2.76µm
net102,2.72µm
_092_,2.645µm
net88,2.62µm
_009_,2.605µm
_011_,2.605µm
_003_,2.545µm
_015_,2.545µm
_023_,2.545µm
net65,2.5µm
net73,2.5µm
net75,2.5µm
_004_,2.425µm
net70,2.38µm
_020_,2.325µm
_040_,2.18µm
net83,2.16µm
net111,2.16µm
net121,2.16µm
_006_,2.125µm
_034_,2.04µm
net62,2.04µm
net64,2.04µm
net69,2.04µm
net76,2.04µm
net113,1.94µm
net120,1.94µm
_012_,1.865µm
_053_,1.84µm
net98,1.84µm
net63,1.84µm
net105,1.84µm
_062_,1.82µm
_068_,1.7µm
net85,1.7µm
net87,1.7µm
net104,1.7µm
net106,1.7µm
net115,1.7µm
_070_,1.56µm
net67,1.38µm
net71,1.38µm
net77,1.38µm
net80,1.38µm
net86,1.38µm
net89,1.38µm
net90,1.38µm
net99,1.38µm
net100,1.38µm
net101,1.38µm
net103,1.38µm
net107,1.38µm
net108,1.38µm
net109,1.38µm
net117,1.38µm
net124,1.38µm
net125,1.38µm
net84,1.02µm
net94,1.02µm
net119,1.02µm
